localizacao,descricao,detalhe_segundario,data,qtd_noites,valor,avaliacao
Ônibus em Mairiporã,Refúgio Manjerico. 40 min de SP,"Cancelamento gratuito
Cancelamento gratuito","27 de jul. – 1 de ago.
27 de jul. – 1 de ago.",por 5 noites,R$2.910,"4,91 de uma avaliação média de 5, 143 avaliações
4,91 (143)"
Apartamento em São Paulo,Mini Rooftop - Celebre Momentos Especiais Aqui,"1 cama
1 cama","30 de jun. – 5 de jul.
30 de jun. – 5 de jul.",por 5 noites,R$1.975,"4,94 de uma avaliação média de 5, 236 avaliações
4,94 (236)"
Apartamento em São Paulo,Apto Spa c/ Hidro e Super Vista! Arq. Niemeyer,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$1.883,"4,68 de uma avaliação média de 5, 276 avaliações
4,68 (276)"
Loft em São Paulo,Vista do Mirante. Loft Black Onyx.,"1 cama queen
1 cama queen","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$2.716,"4,98 de uma avaliação média de 5, 63 avaliações
4,98 (63)"
Apartamento em São Paulo,"3606-1: apt com banheira, cinema,projetor, vista!","Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$2.396,"4,82 de uma avaliação média de 5, 102 avaliações
4,82 (102)"
Cabana em Itapecerica da Serra,Chalé Orquídea - Luxo e Romance na Natureza,"2 camas
2 camas","21 – 26 de jun.
21 – 26 de jun.",por 5 noites,R$2.277,"4,94 de uma avaliação média de 5, 33 avaliações
4,94 (33)"
Cabana em Mairiporã,Cabanas Cantareira - Jacarandá,"4 camas
4 camas","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$3.823,"4,92 de uma avaliação média de 5, 26 avaliações
4,92 (26)"
Casa de hóspedes em Itapecerica da Serra,Descanso no lago 40min. de SP. Girassol,"Cancelamento gratuito
Cancelamento gratuito","29 de jul. – 3 de ago.
29 de jul. – 3 de ago.",por 5 noites,R$921,"5,0 de uma avaliação média de 5, 35 avaliações
5,0 (35)"
Apartamento em São Paulo,Loft 2725: paraíso nas alturas!,,"5 – 10 de jun.
5 – 10 de jun.",por 5 noites,R$1.714,"4,94 de uma avaliação média de 5, 123 avaliações
4,94 (123)"
Apartamento em São Paulo,Studio em vermelho - Copan por @yanaina_interior,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$2.035,"4,91 de uma avaliação média de 5, 256 avaliações
4,91 (256)"
Cabana em Atibaia,Cabana Miralle I,"1 cama
1 cama","28 de jun. – 3 de jul.
28 de jun. – 3 de jul.",por 5 noites,R$4.213,"4,89 de uma avaliação média de 5, 190 avaliações
4,89 (190)"
Cabana em Mairiporã,Chalé na Montanha em Mairiporã - 3,"Cancelamento gratuito
Cancelamento gratuito","28 de jun. – 3 de jul.
28 de jun. – 3 de jul.",por 5 noites,R$3.081,"5,0 de uma avaliação média de 5, 25 avaliações
5,0 (25)"
Casa em Mairiporã,Casa com linda vista da Serra da Cantareira,"2 camas
2 camas","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$2.566,"4,93 de uma avaliação média de 5, 85 avaliações
4,93 (85)"
Loft em São Paulo,"Loft premium, perfeito p casal. Novo perto de tudo","1 cama de casal
1 cama de casal","4 – 9 de jun.
4 – 9 de jun.",por 5 noites,R$1.151,"5,0 de uma avaliação média de 5, 88 avaliações
5,0 (88)"
Apartamento em São Paulo,@estudionewbe - Apartamento moderno no Mirante do Vale,"1 cama
1 cama","7 – 12 de jul.
7 – 12 de jul.",por 5 noites,R$2.054,"4,84 de uma avaliação média de 5, 55 avaliações
4,84 (55)"
Apartamento em São Paulo,LOFT 3012 moderno com vista linda de São Paulo!,"Cancelamento gratuito
Cancelamento gratuito","20 – 25 de jun.
20 – 25 de jun.",por 5 noites,R$1.392,"4,89 de uma avaliação média de 5, 157 avaliações
4,89 (157)"
Apartamento em São Paulo,2701 - Studio Urbano com Vista do Vale,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$810,"4,86 de uma avaliação média de 5, 79 avaliações
4,86 (79)"
Apartamento em São Paulo,1526 - Loft no prédio do Sampa Sky,"Cancelamento gratuito
Cancelamento gratuito","28 de jun. – 3 de jul.
28 de jun. – 3 de jul.",por 5 noites,R$796,"4,84 de uma avaliação média de 5, 90 avaliações
4,84 (90)"
Loft em Centro Histórico de São Paulo,Estúdio encantador que não está olhando para SP high corn,"Cancelamento gratuito
Cancelamento gratuito","12 – 17 de jul.
12 – 17 de jul.",por 5 noites,R$1.027,"4,93 de uma avaliação média de 5, 338 avaliações
4,93 (338)"
Chalé em Mairiporã,Casa na natureza na Serra da Cantareira com hidro,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$3.562,"4,93 de uma avaliação média de 5, 85 avaliações
4,93 (85)"
Chalé em Mairiporã,Aconchego Rústico,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$2.475,"4,92 de uma avaliação média de 5, 92 avaliações
4,92 (92)"
Cabana em Mairiporã,Chalé na Montanha em Mairiporã - 2,"3 camas
3 camas","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$2.556,"5,0 de uma avaliação média de 5, 67 avaliações
5,0 (67)"
Casa de hóspedes em Mairiporã,Chalé Vintage Serra Cantareira,"1 cama
1 cama","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$1.198,"4,94 de uma avaliação média de 5, 63 avaliações
4,94 (63)"
Apartamento em São Paulo,Alecrim no Copan por @zairagon,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$2.933,"4,85 de uma avaliação média de 5, 170 avaliações
4,85 (170)"
Apartamento em São Paulo,Studio com Varanda em frente ao Allianz Parque,"2 camas
2 camas","6 – 11 de jun.
6 – 11 de jun.",por 5 noites,R$1.458,"5,0 de uma avaliação média de 5, 17 avaliações
5,0 (17)"
Apartamento em São Paulo,Apto próximo ao metrô Barra Funda e Allianz Parque,"2 camas
2 camas","4 – 9 de jun.
4 – 9 de jun.",por 5 noites,R$1.335,"4,98 de uma avaliação média de 5, 66 avaliações
4,98 (66)"
Cabana em Mairiporã,Chalé Quietude,"Cancelamento gratuito
Cancelamento gratuito","28 de jul. – 2 de ago.
28 de jul. – 2 de ago.",por 5 noites,R$1.986,"4,98 de uma avaliação média de 5, 100 avaliações
4,98 (100)"
Apartamento em São Paulo,Studio completo no coração de SP | República,"2 camas de solteiro
2 camas de solteiro","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$813,"4,71 de uma avaliação média de 5, 255 avaliações
4,71 (255)"
Loft em São Paulo,Espaço Náutico em Santana - ZN,"2 camas de casal
2 camas de casal","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$2.357,"4,99 de uma avaliação média de 5, 74 avaliações
4,99 (74)"
Casa de hóspedes em Jardim Novo Embu,Chalé charmoso em chácara com piscina no Embu,"3 camas de casal
3 camas de casal","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$1.997,"4,94 de uma avaliação média de 5, 272 avaliações
4,94 (272)"
Apartamento em São Paulo,"Studio confortável em São Paulo, próx ao metrô","Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$918,"4,85 de uma avaliação média de 5, 351 avaliações
4,85 (351)"
Chalé em Mairiporã,"Nostro Villaggio: Espelho d'Água, Jacuzzi, Piscina","1 cama de casal
1 cama de casal","8 – 13 de jul.
8 – 13 de jul.",por 5 noites,R$2.004,"5,0 de uma avaliação média de 5, 3 avaliações
5,0 (3)"
Condomínio em São Paulo,Solarium e um Belíssimo Terraço Garden 10,"Cancelamento gratuito
Cancelamento gratuito","16 – 21 de jun.
16 – 21 de jun.",por 5 noites,R$1.598,"4,93 de uma avaliação média de 5, 141 avaliações
4,93 (141)"
Loft em São Paulo,Loft 3903 MiraQueBelo andar 39!,"Cancelamento gratuito
Cancelamento gratuito","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$1.411,"4,83 de uma avaliação média de 5, 277 avaliações
4,83 (277)"
Apartamento em São Paulo,3526 - Loft em São Paulo,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.125,"4,88 de uma avaliação média de 5, 59 avaliações
4,88 (59)"
Apartamento em São Paulo,"Studio moderno, melhor localização Vila Madalena","2 camas
2 camas","5 – 10 de jun.
5 – 10 de jun.",por 5 noites,R$1.472,"5,0 de uma avaliação média de 5, 3 avaliações
5,0 (3)"
Apartamento em São Paulo,LOFT com Vista Panorâmica | Aeroporto SPExpo +A/C,"Cancelamento gratuito
Cancelamento gratuito","29 de jun. – 4 de jul.
29 de jun. – 4 de jul.",por 5 noites,R$1.080,"4,97 de uma avaliação média de 5, 87 avaliações
4,97 (87)"
Apartamento em São Paulo,Apto Spa Jacuzzi Privativa Churrasqueira Casal,"1 cama de casal
1 cama de casal","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$3.816,"4,71 de uma avaliação média de 5, 91 avaliações
4,71 (91)"
Casa em São Bernardo do Campo,loft mobiliado,"1 cama de casal
1 cama de casal","26 de jun. – 1 de jul.
26 de jun. – 1 de jul.",por 5 noites,R$796,"5,0 de uma avaliação média de 5, 9 avaliações
5,0 (9)"
Apartamento em São Paulo,Vista do Mirante. Loft Straw,"1 cama queen
1 cama queen","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$2.716,"5,0 de uma avaliação média de 5, 21 avaliações
5,0 (21)"
Apartamento em São Paulo,Studio fenomenal em São Paulo próximo ao metrô,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$816,"4,77 de uma avaliação média de 5, 111 avaliações
4,77 (111)"
Apartamento em São Paulo,Loft2025: Vista Deslumbrante,"Cancelamento gratuito
Cancelamento gratuito","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$1.668,"4,79 de uma avaliação média de 5, 62 avaliações
4,79 (62)"
Apartamento em São Paulo,813 sem taxa menor preço complet,"1 cama
1 cama","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.073,"4,77 de uma avaliação média de 5, 22 avaliações
4,77 (22)"
Loft em São Paulo,Seen 39° loft Vintage vista panorâmica do Vale,"1 cama queen
1 cama queen","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.461,"4,98 de uma avaliação média de 5, 157 avaliações
4,98 (157)"
Loft em São Paulo,Studio novo República garagem cama King DR1617,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$1.092,"4,77 de uma avaliação média de 5, 132 avaliações
4,77 (132)"
Apartamento em São Paulo,"GoodVibes São Paulo. Hidro, Relax e Espaço de Trabalho","2 camas
2 camas","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$2.241,"4,99 de uma avaliação média de 5, 95 avaliações
4,99 (95)"
Casa de veraneio em Cotia,Um Lugar encantador com ofurô ao ar livre,"1 cama de casal
1 cama de casal","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$2.590,"4,74 de uma avaliação média de 5, 99 avaliações
4,74 (99)"
Apartamento em São Paulo,Apto em Moema | Aero Congonhas 724,"Cancelamento gratuito
Cancelamento gratuito","27 de jul. – 1 de ago.
27 de jul. – 1 de ago.",por 5 noites,R$1.837,"4,97 de uma avaliação média de 5, 29 avaliações
4,97 (29)"
Apartamento em São Paulo,LOFT Incrível | Aeroporto | Metrô | SP Expo + A/C,"Cancelamento gratuito
Cancelamento gratuito","8 – 13 de jul.
8 – 13 de jul.",por 5 noites,R$1.060,"5,0 de uma avaliação média de 5, 91 avaliações
5,0 (91)"
Apartamento em São Paulo,Belo Studio Centro de SP,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$916,"4,86 de uma avaliação média de 5, 174 avaliações
4,86 (174)"
Casa em Vila Formosa,Seu Refugio,"4 camas
4 camas","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$2.031,"4,98 de uma avaliação média de 5, 243 avaliações
4,98 (243)"
Apartamento em São Paulo,Studio aconchegante com ar e excelente localização,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$964,"4,77 de uma avaliação média de 5, 96 avaliações
4,77 (96)"
Apartamento em São Paulo,Ap Encantador c/ Vista Incrível - 37th - #SampaSky,"1 cama
1 cama","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$1.211,"4,7 de uma avaliação média de 5, 90 avaliações
4,7 (90)"
Apartamento em São Paulo,AP03- Apartamento Prox. Metrô /CGH/SP EXPO e CEIC,"2 camas
2 camas","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$1.027,"4,85 de uma avaliação média de 5, 46 avaliações
4,85 (46)"
Casa em Vila Formosa,Seu Refugio,"4 camas
4 camas","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$2.031,"4,98 de uma avaliação média de 5, 243 avaliações
4,98 (243)"
Apartamento em São Paulo,"GoodVibes São Paulo. Hidro, Relax e Espaço de Trabalho","2 camas
2 camas","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$2.241,"4,99 de uma avaliação média de 5, 95 avaliações
4,99 (95)"
Loft em São Paulo,Studio novo República garagem cama King DR1617,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$1.092,"4,77 de uma avaliação média de 5, 132 avaliações
4,77 (132)"
Apartamento em São Paulo,Apto em Moema | Aero Congonhas 724,"Cancelamento gratuito
Cancelamento gratuito","27 de jul. – 1 de ago.
27 de jul. – 1 de ago.",por 5 noites,R$1.837,"4,97 de uma avaliação média de 5, 29 avaliações
4,97 (29)"
Apartamento em São Paulo,24° andar no Copan,"1 cama queen
1 cama queen","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$1.245,"4,9 de uma avaliação média de 5, 10 avaliações
4,9 (10)"
Cabana em Mairiporã,Cabana A-frame na Serra da Cantareira(chalé),"1 cama de casal
1 cama de casal","4 – 9 de jun.
4 – 9 de jun.",por 5 noites,R$3.572,"4,77 de uma avaliação média de 5, 256 avaliações
4,77 (256)"
Apartamento em São Paulo,Ap Encantador c/ Vista Incrível - 37th - #SampaSky,"1 cama
1 cama","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$1.211,"4,7 de uma avaliação média de 5, 90 avaliações
4,7 (90)"
Apartamento em São Paulo,Studio aconchegante com ar e excelente localização,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$964,"4,77 de uma avaliação média de 5, 96 avaliações
4,77 (96)"
Apartamento em São Paulo,AP03- Apartamento Prox. Metrô /CGH/SP EXPO e CEIC,"2 camas
2 camas","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$1.027,"4,85 de uma avaliação média de 5, 46 avaliações
4,85 (46)"
Apartamento em São Paulo,LOFT Incrível | Aeroporto | Metrô | SP Expo + A/C,"Cancelamento gratuito
Cancelamento gratuito","8 – 13 de jul.
8 – 13 de jul.",por 5 noites,R$1.060,"5,0 de uma avaliação média de 5, 91 avaliações
5,0 (91)"
Loft em São Paulo,Vista de 39° do loft industrial com vista estonteante do Vale,"1 cama
1 cama","6 – 11 de jun.
6 – 11 de jun.",por 5 noites,R$1.506,"4,98 de uma avaliação média de 5, 130 avaliações
4,98 (130)"
Apartamento em São Paulo,Studio espaçoso com conforto e estilo @Copan c/ Ar,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.450,"4,87 de uma avaliação média de 5, 171 avaliações
4,87 (171)"
Apartamento em São Paulo,Studio de luxo com piscina incrível e academia,"Cancelamento gratuito
Cancelamento gratuito","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$1.110,"4,89 de uma avaliação média de 5, 19 avaliações
4,89 (19)"
Apartamento em São Paulo,BA4 Studio Confortável Moderno Bela Vista Com Vaga,"Cancelamento gratuito
Cancelamento gratuito","29 de jun. – 4 de jul.
29 de jun. – 4 de jul.",por 5 noites,R$933,"4,87 de uma avaliação média de 5, 174 avaliações
4,87 (174)"
Apartamento em São Paulo,"Terraço com vista deslumbrante, piscina e jardim","1 cama
1 cama","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$3.492,"4,97 de uma avaliação média de 5, 35 avaliações
4,97 (35)"
Apartamento em São Paulo,"Estúdio Completo - Piscina, Rooftop e Coworking","1 cama de casal
1 cama de casal","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$863,"4,88 de uma avaliação média de 5, 52 avaliações
4,88 (52)"
Apartamento em São Paulo,Excelente apartamento na saúde.,"2 camas
2 camas","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$848,"Novo lugar para ficar
Novo"
Casa em Mairiporã,Casa Aconchego,"3 camas
3 camas","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.749,"4,97 de uma avaliação média de 5, 233 avaliações
4,97 (233)"
Casa em Mairiporã,Casa Aconchego,"3 camas
3 camas","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.749,"4,97 de uma avaliação média de 5, 233 avaliações
4,97 (233)"
Apartamento em São Paulo,Studio moderno no coração da Vila Mariana,"Cancelamento gratuito
Cancelamento gratuito","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$1.021,"4,85 de uma avaliação média de 5, 119 avaliações
4,85 (119)"
Apartamento em Guarulhos,"Aeroporto de Gru, Skyline + AR, Piscina e Academia","Cancelamento gratuito
Cancelamento gratuito","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$1.365,"4,97 de uma avaliação média de 5, 33 avaliações
4,97 (33)"
Condomínio em São Paulo,"Elegante, piscina e estacionamento pago, prox. Pau","Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.328,"4,74 de uma avaliação média de 5, 34 avaliações
4,74 (34)"
Loft em São Paulo,Loft Temático Java. Com vista espetacular.,"1 cama de casal
1 cama de casal","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$2.129,"4,91 de uma avaliação média de 5, 127 avaliações
4,91 (127)"
Apartamento em São Paulo,Setin 1312,"Cancelamento gratuito
Cancelamento gratuito","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$1.153,"4,89 de uma avaliação média de 5, 185 avaliações
4,89 (185)"
Apartamento em São Paulo,Studio Grande Vista para cidade. Pinheiros SP,"Cancelamento gratuito
Cancelamento gratuito","13 – 18 de jun.
13 – 18 de jun.",por 5 noites,R$2.003,"4,71 de uma avaliação média de 5, 41 avaliações
4,71 (41)"
Casa de hóspedes em Mairiporã,Chalé da Cantareira uma experiência incrível.,"2 camas
2 camas","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$2.899,"4,88 de uma avaliação média de 5, 170 avaliações
4,88 (170)"
Loft em Vila Augusta,Andar Alto com Vista; Tudo Perto e Ar Condicionado,"1 cama de casal
1 cama de casal","10 – 15 de jun.
10 – 15 de jun.",por 5 noites,R$974,"4,93 de uma avaliação média de 5, 127 avaliações
4,93 (127)"
Apartamento em São Paulo,Estúdio metrô Brooklin|Piscina|Academia 08,"1 cama
1 cama","5 – 10 de jun.
5 – 10 de jun.",por 5 noites,R$1.145,"4,95 de uma avaliação média de 5, 126 avaliações
4,95 (126)"
Apartamento em São Paulo,Maravilhoso apto próximo Av Paulista com garagem,"Cancelamento gratuito
Cancelamento gratuito","14 – 19 de jun.
14 – 19 de jun.",por 5 noites,R$988,"4,89 de uma avaliação média de 5, 168 avaliações
4,89 (168)"
Apartamento em São Paulo,"Studio 13, lado do metrô, ar-condicionado","1 cama de casal
1 cama de casal","6 – 11 de jun.
6 – 11 de jun.",por 5 noites,R$786,"4,89 de uma avaliação média de 5, 61 avaliações
4,89 (61)"
Apartamento em São Paulo,Bossa Nova @ Copan por @yanainainteriores,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$2.096,"4,85 de uma avaliação média de 5, 162 avaliações
4,85 (162)"
Apartamento em São Paulo,"Studio Moov49, próx Metrô Brás, cozinha completa.","Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$799,"4,93 de uma avaliação média de 5, 120 avaliações
4,93 (120)"
Apartamento em São Paulo,Your Life Liberdade 2,"Cancelamento gratuito
Cancelamento gratuito","29 de jun. – 4 de jul.
29 de jun. – 4 de jul.",por 5 noites,R$913,"4,95 de uma avaliação média de 5, 85 avaliações
4,95 (85)"
Apartamento em São Paulo,"Studio 06 varanda, lado do metrô","1 cama
1 cama","6 – 11 de jun.
6 – 11 de jun.",por 5 noites,R$783,"4,89 de uma avaliação média de 5, 64 avaliações
4,89 (64)"
